codigo_materia,nombre_materia,dia,hora_inicio,hora_fin,docente,docente_email,salon,grupo,creditos
1311,PROYECTOS II,LUNES,07:00,08:30,WILLIAM MARTINEZ VARGAS,william.martinez@pi.edu.co,SOFT-214,UVRD1-1TI,3
0569,APLICACIONES II,LUNES,08:30,11:30,EDGAR HUMBERTO ANGEL MILLAN,edgar.angel@pi.edu.co,SOFT-214,SOFE1-6TC,4
0569,APLICACIONES II,MARTES,08:30,10:00,EDGAR HUMBERTO ANGEL MILLAN,edgar.angel@pi.edu.co,SOFT-214,SOFE1-6TC,4
1341,BASES DE DATOS III,MARTES,10:00,11:30,EDGAR HUMBERTO ANGEL MILLAN,edgar.angel@pi.edu.co,SOFT-214,SOFE1-6TC,3
0956,CONTABILIDAD BASICA,MIERCOLES,07:00,10:00,EDGAR HUMBERTO ANGEL MILLAN,edgar.angel@pi.edu.co,VIRTUAL,UVRD1-1TI,2
0798,INGLES V,MIERCOLES,10:00,13:00,NESTOR CORTES FRANCO,nestor.cortes@pi.edu.co,VIRTUAL,UVRE1-7TI,3
1342,SOPORTE Y MANTENIMIENTO,JUEVES,08:30,11:30,EDGAR HUMBERTO ANGEL MILLAN,edgar.angel@pi.edu.co,SOFT-214,SOFE1-6TC,3
1315,EMPLEABILIDAD I,VIERNES,10:00,11:30,NESTOR CORTES FRANCO,nestor.cortes@pi.edu.co,VIRTUAL,UVRE1-6TI,2
2201,ESTRUCTURA DE DATOS,VIERNES,07:00,09:00,ANA MARIA GOMEZ RUIZ,ana.gomez@pi.edu.co,SOFT-210,SOFE2-3TC,4
2305,REDES Y COMUNICACIONES,SABADO,07:00,11:00,CARLOS ANDRES PEREZ,carlos.perez@pi.edu.co,SOFT-211,SOFS1-2TC,4
